x,y
101.0,88.0
102.0,91.0
102.0,94.0
102.0,95.0
103.0,99.0
103.0,102.0
104.0,107.0
104.0,116.0
104.0,119.0
104.0,121.0
105.0,131.0
105.0,133.0
107.0,143.0
108.0,148.0
108.0,151.0
109.0,165.0
109.0,167.0
110.0,175.0
110.0,178.0
111.0,182.0
111.0,188.0
111.0,188.0
112.0,190.0
113.0,195.0
113.0,197.0
113.0,202.0
114.0,203.0
114.0,206.0
114.0,211.0
114.0,212.0
114.0,217.0
114.0,219.0
114.0,219.0
173.0,121.0
177.0,121.0
184.0,120.0
199.0,120.0
210.0,120.0
222.0,120.0
229.0,120.0
237.0,120.0
257.0,120.0
262.0,120.0
265.0,121.0
269.0,122.0
269.0,122.0
270.0,122.0
270.0,123.0
270.0,124.0
271.0,124.0
270.0,126.0
268.0,129.0
264.0,133.0
261.0,137.0
246.0,152.0
240.0,157.0
236.0,160.0
221.0,175.0
218.0,177.0
213.0,182.0
211.0,185.0
210.0,185.0
209.0,186.0
209.0,187.0
209.0,188.0
209.0,189.0
209.0,191.0
209.0,192.0
209.0,194.0
209.0,194.0
210.0,196.0
211.0,196.0
214.0,198.0
215.0,198.0
225.0,200.0
230.0,200.0
233.0,200.0
244.0,197.0
250.0,195.0
257.0,193.0
258.0,192.0
261.0,192.0
264.0,190.0
264.0,189.0
265.0,189.0
265.0,188.0
266.0,188.0
343.0,82.0
352.0,83.0
356.0,83.0
361.0,84.0
367.0,85.0
372.0,85.0
379.0,87.0
382.0,88.0
384.0,88.0
387.0,90.0
388.0,91.0
392.0,95.0
392.0,96.0
394.0,97.0
394.0,98.0
395.0,98.0
396.0,100.0
396.0,101.0
397.0,103.0
397.0,104.0
397.0,105.0
397.0,107.0
396.0,108.0
395.0,109.0
394.0,110.0
388.0,117.0
383.0,122.0
381.0,123.0
370.0,133.0
367.0,137.0
352.0,152.0
352.0,153.0
351.0,156.0
349.0,161.0
349.0,163.0
349.0,164.0
349.0,168.0
349.0,169.0
350.0,172.0
351.0,173.0
353.0,177.0
356.0,183.0
357.0,183.0
364.0,194.0
366.0,197.0
368.0,200.0
370.0,206.0
371.0,208.0
373.0,223.0
373.0,225.0
373.0,229.0
373.0,236.0
373.0,239.0
371.0,244.0
370.0,247.0
369.0,249.0
362.0,256.0
359.0,260.0
348.0,268.0
344.0,271.0
341.0,274.0
333.0,279.0
331.0,280.0
327.0,283.0
323.0,285.0
323.0,286.0
320.0,287.0
319.0,287.0
317.0,288.0
317.0,288.0
241.0,368.0
239.0,369.0
237.0,370.0
235.0,370.0
234.0,371.0
230.0,372.0
226.0,373.0
202.0,381.0
193.0,382.0
181.0,384.0
136.0,384.0
129.0,384.0
69.0,384.0
51.0,384.0
44.0,383.0
24.0,381.0
20.0,380.0
19.0,380.0
18.0,380.0
18.0,379.0
18.0,375.0
19.0,368.0
20.0,366.0
21.0,363.0
23.0,359.0
33.0,346.0
36.0,343.0
39.0,340.0
54.0,325.0
58.0,322.0
72.0,309.0
75.0,308.0
81.0,304.0
93.0,298.0
97.0,296.0
104.0,292.0
107.0,291.0
107.0,291.0
108.0,291.0
109.0,290.0
109.0,290.0
110.0,290.0
112.0,292.0
113.0,296.0
114.0,298.0
117.0,309.0
118.0,317.0
118.0,322.0
124.0,372.0
124.0,383.0
124.0,423.0
124.0,435.0
124.0,447.0
124.0,467.0
124.0,472.0
124.0,482.0
124.0,483.0
124.0,484.0
124.0,486.0
124.0,487.0
