x,y,label
108.0,153.0,0.0
108.0,150.0,0.0
108.0,149.0,0.0
112.0,143.0,0.0
118.0,138.0,0.0
126.0,132.0,0.0
146.0,124.0,0.0
166.0,116.0,0.0
185.0,111.0,0.0
194.0,111.0,0.0
200.0,110.0,0.0
203.0,110.0,0.0
207.0,110.0,0.0
208.0,110.0,0.0
209.0,110.0,0.0
212.0,111.0,0.0
213.0,118.0,0.0
213.0,123.0,0.0
213.0,135.0,0.0
213.0,147.0,0.0
208.0,158.0,0.0
194.0,172.0,0.0
182.0,179.0,0.0
163.0,187.0,0.0
149.0,191.0,0.0
142.0,193.0,0.0
137.0,193.0,0.0
134.0,193.0,0.0
133.0,193.0,0.0
132.0,187.0,0.0
132.0,182.0,0.0
132.0,172.0,0.0
281.0,119.0,1.0
282.0,119.0,1.0
286.0,116.0,1.0
288.0,115.0,1.0
289.0,115.0,1.0
291.0,114.0,1.0
292.0,114.0,1.0
294.0,114.0,1.0
295.0,114.0,1.0
297.0,114.0,1.0
298.0,114.0,1.0
302.0,117.0,1.0
305.0,120.0,1.0
316.0,136.0,1.0
317.0,139.0,1.0
325.0,151.0,1.0
327.0,157.0,1.0
328.0,164.0,1.0
331.0,175.0,1.0
332.0,198.0,1.0
332.0,210.0,1.0
324.0,233.0,1.0
323.0,234.0,1.0
320.0,238.0,1.0
294.0,243.0,1.0
280.0,243.0,1.0
266.0,243.0,1.0
245.0,243.0,1.0
240.0,242.0,1.0
238.0,239.0,1.0
237.0,226.0,1.0
237.0,215.0,1.0
243.0,202.0,1.0
266.0,171.0,1.0
279.0,161.0,1.0
298.0,151.0,1.0
309.0,145.0,1.0
316.0,144.0,1.0
318.0,143.0,1.0
319.0,143.0,1.0
320.0,143.0,1.0
322.0,145.0,1.0
322.0,149.0,1.0
322.0,150.0,1.0
177.0,284.0,2.0
196.0,278.0,2.0
226.0,278.0,2.0
238.0,278.0,2.0
268.0,282.0,2.0
281.0,290.0,2.0
300.0,304.0,2.0
303.0,307.0,2.0
305.0,317.0,2.0
305.0,318.0,2.0
305.0,338.0,2.0
305.0,339.0,2.0
298.0,348.0,2.0
288.0,352.0,2.0
249.0,364.0,2.0
226.0,364.0,2.0
175.0,364.0,2.0
154.0,364.0,2.0
138.0,364.0,2.0
132.0,364.0,2.0
128.0,358.0,2.0
128.0,347.0,2.0
131.0,328.0,2.0
147.0,309.0,2.0
149.0,305.0,2.0
152.0,303.0,2.0
158.0,299.0,2.0
174.0,299.0,2.0
188.0,299.0,2.0
195.0,299.0,2.0
201.0,299.0,2.0
202.0,300.0,2.0
202.0,301.0,2.0
203.0,301.0,2.0
203.0,307.0,2.0
203.0,310.0,2.0
202.0,314.0,2.0
200.0,316.0,2.0
196.0,320.0,2.0
193.0,323.0,2.0
186.0,325.0,2.0
179.0,326.0,2.0
