x,y,label
122.0,316.0,0.0
125.0,309.0,0.0
133.0,298.0,0.0
142.0,284.0,0.0
156.0,268.0,0.0
170.0,251.0,0.0
187.0,229.0,0.0
201.0,209.0,0.0
206.0,202.0,0.0
220.0,184.0,0.0
235.0,170.0,0.0
245.0,159.0,0.0
255.0,148.0,0.0
265.0,142.0,0.0
273.0,135.0,0.0
283.0,130.0,0.0
290.0,127.0,0.0
300.0,124.0,0.0
303.0,124.0,0.0
310.0,122.0,0.0
315.0,121.0,0.0
321.0,120.0,0.0
325.0,120.0,0.0
329.0,120.0,0.0
333.0,120.0,0.0
336.0,120.0,0.0
340.0,120.0,0.0
342.0,122.0,0.0
345.0,123.0,0.0
347.0,125.0,0.0
350.0,128.0,0.0
352.0,130.0,0.0
354.0,136.0,0.0
355.0,140.0,0.0
356.0,146.0,0.0
356.0,155.0,0.0
356.0,163.0,0.0
355.0,174.0,0.0
351.0,185.0,0.0
344.0,198.0,0.0
337.0,212.0,0.0
328.0,224.0,0.0
310.0,248.0,0.0
304.0,253.0,0.0
291.0,265.0,0.0
280.0,275.0,0.0
268.0,284.0,0.0
264.0,287.0,0.0
256.0,293.0,0.0
250.0,298.0,0.0
245.0,301.0,0.0
242.0,303.0,0.0
240.0,304.0,0.0
238.0,305.0,0.0
236.0,306.0,0.0
235.0,306.0,0.0
234.0,306.0,0.0
234.0,307.0,0.0
233.0,307.0,0.0
233.0,307.0,0.0
233.0,307.0,0.0
233.0,307.0,0.0
233.0,300.0,0.0
233.0,295.0,0.0
233.0,285.0,0.0
233.0,274.0,0.0
236.0,259.0,0.0
240.0,242.0,0.0
245.0,223.0,0.0
250.0,205.0,0.0
255.0,191.0,0.0
257.0,185.0,0.0
261.0,176.0,0.0
265.0,169.0,0.0
267.0,165.0,0.0
270.0,161.0,0.0
272.0,159.0,0.0
272.0,158.0,0.0
273.0,158.0,0.0
273.0,157.0,0.0
273.0,157.0,0.0
274.0,157.0,0.0
274.0,158.0,0.0
274.0,163.0,0.0
272.0,170.0,0.0
268.0,179.0,0.0
265.0,186.0,0.0
263.0,190.0,0.0
256.0,206.0,0.0
254.0,213.0,0.0
252.0,216.0,0.0
249.0,222.0,0.0
247.0,227.0,0.0
246.0,232.0,0.0
245.0,234.0,0.0
243.0,236.0,0.0
243.0,237.0,0.0
243.0,238.0,0.0
243.0,238.0,0.0
244.0,237.0,0.0
250.0,234.0,0.0
259.0,231.0,0.0
263.0,229.0,0.0
269.0,228.0,0.0
275.0,226.0,0.0
279.0,225.0,0.0
281.0,224.0,0.0
283.0,224.0,0.0
284.0,224.0,0.0
284.0,224.0,0.0
284.0,225.0,0.0
274.0,234.0,0.0
263.0,245.0,0.0
256.0,251.0,0.0
242.0,262.0,0.0
227.0,272.0,0.0
216.0,279.0,0.0
205.0,283.0,0.0
195.0,286.0,0.0
188.0,286.0,0.0
183.0,286.0,0.0
179.0,282.0,0.0
175.0,273.0,0.0
174.0,263.0,0.0
174.0,252.0,0.0
174.0,241.0,0.0
174.0,237.0,0.0
179.0,225.0,0.0
183.0,220.0,0.0
189.0,215.0,0.0
